Spørsmål;Svar;Les mer her…;Link
Hva er de praktiske aspektene ved fjernledelse, og hvordan håndteres de daglige utfordringene?;I praksis innebærer fjernledelse at medarbeidere rapporterer både faglig og personalmessig til en leder, som har det fulle personalansvaret og budsjettansvaret for medarbeiderne. Medarbeidere som fjernledes må planlegge og styre sin egen arbeidsdag, vedlikeholde og tilegne seg ny kompetanse, dele kunnskap med andre i avdelingen, ha tett dialog med leder og kollegaer, samt bidra til et godt arbeidsmiljø lokalt og i avdelingen. Dette krever selvstendighet, ansvarlighet og god kommunikasjon mellom medarbeidere og leder for å sikre effektivt samarbeid og oppnå målene som er satt ;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Fjernledelse
Kan du gi eksempler på hvordan fjernledelse implementeres og opererer i organisasjonens daglige drift?;I praksis innebærer fjernledelse at medarbeidere rapporterer både faglig og personalmessig til en leder, som har det fulle personalansvaret og budsjettansvaret for medarbeiderne. Medarbeidere som fjernledes må planlegge og styre sin egen arbeidsdag, vedlikeholde og tilegne seg ny kompetanse, dele kunnskap med andre i avdelingen, ha tett dialog med leder og kollegaer, samt bidra til et godt arbeidsmiljø lokalt og i avdelingen. Dette krever selvstendighet, ansvarlighet og god kommunikasjon mellom medarbeidere og leder for å sikre effektivt samarbeid og oppnå målene som er satt ;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Fjernledelse
Hvordan ser den daglige gjennomføringen av fjernledelse ut i praksis i organisasjonen?;I praksis innebærer fjernledelse at medarbeidere rapporterer både faglig og personalmessig til en leder, som har det fulle personalansvaret og budsjettansvaret for medarbeiderne. Medarbeidere som fjernledes må planlegge og styre sin egen arbeidsdag, vedlikeholde og tilegne seg ny kompetanse, dele kunnskap med andre i avdelingen, ha tett dialog med leder og kollegaer, samt bidra til et godt arbeidsmiljø lokalt og i avdelingen. Dette krever selvstendighet, ansvarlighet og god kommunikasjon mellom medarbeidere og leder for å sikre effektivt samarbeid og oppnå målene som er satt ;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Fjernledelse
Hvilke konkrete metoder og verktøy benyttes for å sikre effektiv fjernledelse i virkeligheten?;I praksis innebærer fjernledelse at medarbeidere rapporterer både faglig og personalmessig til en leder, som har det fulle personalansvaret og budsjettansvaret for medarbeiderne. Medarbeidere som fjernledes må planlegge og styre sin egen arbeidsdag, vedlikeholde og tilegne seg ny kompetanse, dele kunnskap med andre i avdelingen, ha tett dialog med leder og kollegaer, samt bidra til et godt arbeidsmiljø lokalt og i avdelingen. Dette krever selvstendighet, ansvarlighet og god kommunikasjon mellom medarbeidere og leder for å sikre effektivt samarbeid og oppnå målene som er satt ;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Fjernledelse
Hvordan fungerer fjernledelse i praksis når det gjelder samhandling, kommunikasjon og oppfølging?;I praksis innebærer fjernledelse at medarbeidere rapporterer både faglig og personalmessig til en leder, som har det fulle personalansvaret og budsjettansvaret for medarbeiderne. Medarbeidere som fjernledes må planlegge og styre sin egen arbeidsdag, vedlikeholde og tilegne seg ny kompetanse, dele kunnskap med andre i avdelingen, ha tett dialog med leder og kollegaer, samt bidra til et godt arbeidsmiljø lokalt og i avdelingen. Dette krever selvstendighet, ansvarlighet og god kommunikasjon mellom medarbeidere og leder for å sikre effektivt samarbeid og oppnå målene som er satt ;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Fjernledelse
Hvordan tilpasses fjernledelse de spesifikke kravene og utfordringene som oppstår i organisasjonens daglige drift?;I praksis innebærer fjernledelse at medarbeidere rapporterer både faglig og personalmessig til en leder, som har det fulle personalansvaret og budsjettansvaret for medarbeiderne. Medarbeidere som fjernledes må planlegge og styre sin egen arbeidsdag, vedlikeholde og tilegne seg ny kompetanse, dele kunnskap med andre i avdelingen, ha tett dialog med leder og kollegaer, samt bidra til et godt arbeidsmiljø lokalt og i avdelingen. Dette krever selvstendighet, ansvarlighet og god kommunikasjon mellom medarbeidere og leder for å sikre effektivt samarbeid og oppnå målene som er satt ;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Fjernledelse
Hvordan er erfaringene med fjernledelse så langt, og hva er de konkrete resultatene som er oppnådd?;I praksis innebærer fjernledelse at medarbeidere rapporterer både faglig og personalmessig til en leder, som har det fulle personalansvaret og budsjettansvaret for medarbeiderne. Medarbeidere som fjernledes må planlegge og styre sin egen arbeidsdag, vedlikeholde og tilegne seg ny kompetanse, dele kunnskap med andre i avdelingen, ha tett dialog med leder og kollegaer, samt bidra til et godt arbeidsmiljø lokalt og i avdelingen. Dette krever selvstendighet, ansvarlighet og god kommunikasjon mellom medarbeidere og leder for å sikre effektivt samarbeid og oppnå målene som er satt ;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Fjernledelse
Hva oppfordrer Husbanken de ansatte til når det gjelder varsling av kritikkverdige forhold?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
kritikkverdige;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva oppfordrer Husbanken de ansatte til når det gjelder å varsle om kritikkverdige forhold?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Kan du gi en oversikt over hvordan Husbanken oppmuntrer de ansatte til å melde fra om forhold som anses som kritikkverdige?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan er retningslinjene utformet når det gjelder Husbankens oppfordringer til de ansatte om varsling av kritikkverdige forhold?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva er de spesifikke tiltakene og retningslinjene som Husbanken benytter for å oppfordre de ansatte til å varsle om kritikkverdige forhold?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Kan du beskrive hvordan Husbanken aktivt støtter de ansatte i å varsle om forhold som oppfattes som kritikkverdige?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan oppfordres de ansatte til å melde fra om kritikkverdige forhold i tråd med Husbankens retningslinjer?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvilke prinsipper og retningslinjer gjelder for Husbankens oppfordringer til de ansatte om varsling av kritikkverdige forhold?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan kan de ansatte best oppfylle kravene om varsling av kritikkverdige forhold i samsvar med Husbankens retningslinjer?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva er de konkrete forventningene når det gjelder de ansattes rolle i å melde fra om kritikkverdige forhold i Husbanken?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan kan de ansatte effektivt bidra til å avdekke og rapportere kritikkverdige forhold basert på Husbankens oppfordringer?;Husbanken oppfordrer de ansatte til å varsle om kritikkverdige forhold og ønsker et åpent og godt ytringsklima med lav terskel for å si hva man mener. Ansatte og innleide arbeidstakere har både rett til, og oppfordres til, å varsle om kritikkverdige forhold i Husbanken .;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva er formålet med Husbankens retningslinje for varsling om kritikkverdige forhold?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva er hensikten med Husbankens retningslinje for varsling om kritikkverdige forhold?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Kan du gi en oversikt over formålet med Husbankens retningslinje for varsling av kritikkverdige forhold?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan er formålet med retningslinjene for varsling om kritikkverdige forhold formulert av Husbanken?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva ønsker Husbanken å oppnå gjennom innføringen av retningslinjene for varsling om kritikkverdige forhold?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Kan du beskrive de konkrete målene som Husbanken har satt med innføringen av retningslinjene for varsling om kritikkverdige forhold?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan støtter formålet med Husbankens retningslinje de overordnede målene og verdiene til organisasjonen?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvilke prinsipper og verdier ligger til grunn for formålet med Husbankens retningslinje for varsling av kritikkverdige forhold?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan har formålet med retningslinjene for varsling om kritikkverdige forhold blitt kommunisert internt i Husbanken?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva er de konkrete forventningene som er knyttet til å oppnå formålet med Husbankens retningslinje for varsling av kritikkverdige forhold?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan kan implementeringen av retningslinjene støtte opp om formålet med Husbankens arbeid for å håndtere kritikkverdige forhold?;Formålet med Husbankens retningslinje for varsling om kritikkverdige forhold er å sikre en trygg og åpen arbeidsplass, samt å gi ansatte og innleide arbeidstakere en kanal for å varsle om eventuelle bekymringsverdige situasjoner. Retningslinjen gir også informasjon om hvordan varsling skal håndteres og hvem man kan varsle til.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva er forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva skiller varsling om kritikkverdige forhold fra varsling i tråd med rutiner for avvikshåndtering?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Kan du gi en sammenligning av forskjellene mellom varsling om kritikkverdige forhold og varsling i henhold til avvikshåndteringsrutiner?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan adskiller varsling om kritikkverdige forhold seg fra varsling i samsvar med rutinene for avvikshåndtering?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva er de distinkte kjennetegnene ved varsling om kritikkverdige forhold sammenlignet med varsling i henhold til avviksprosedyrer?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Kan du beskrive hvordan Husbanken definerer og skiller mellom varsling om kritikkverdige forhold og varsling knyttet til avvikshåndtering?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan håndteres varsling om kritikkverdige forhold annerledes enn varsling i henhold til etablerte rutiner for avvikshåndtering?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvilke prinsipper og retningslinjer gjelder for å differensiere mellom varsling om kritikkverdige forhold og varsling knyttet til avvikshåndtering i Husbanken?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan kan medarbeidere skille mellom varsling om kritikkverdige forhold og varsling i henhold til avvikshåndteringsprosedyrer i praksis?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva er de konkrete forskjellene som Husbanken legger vekt på når det gjelder varsling om kritikkverdige forhold versus varsling i avvikshåndtering?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan kan Husbankens retningslinjer tydeliggjøre forskjellene mellom varsling om kritikkverdige forhold og varsling i avvikshåndtering for de ansatte?;Forskjellen mellom varsling om kritikkverdige forhold og varsling i henhold til rutiner for avvikshåndtering ligger i hva som kan varsles. Varsling om kritikkverdige forhold omfatter situasjoner som anses som kritikkverdige, for eksempel kriminelle forhold, mislighold av lovbestemte påbud eller forbud, brudd på etiske retningslinjer, mobbing, diskriminering og trakassering, samt andre saker av ulik karakter og alvorlighetsgrad. På den annen side omhandler varsling i henhold til rutiner for avvikshåndtering enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva er definisjonen på avvik i Husbankens kontekst?;I Husbankens kontekst er avvik definert som enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger. Avvik skal ikke meldes via varslingskanalene for kritikkverdige forhold, men gjennom egne rutiner for avvikshåndtering;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva innebærer begrepet avvik i Husbankens kontekst?;I Husbankens kontekst er avvik definert som enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger. Avvik skal ikke meldes via varslingskanalene for kritikkverdige forhold, men gjennom egne rutiner for avvikshåndtering;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Kan du gi en forklaring på definisjonen av avvik i Husbankens sammenheng?;I Husbankens kontekst er avvik definert som enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger. Avvik skal ikke meldes via varslingskanalene for kritikkverdige forhold, men gjennom egne rutiner for avvikshåndtering;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan er avvik definert i Husbankens kontekst, og hva inkluderer denne definisjonen?;I Husbankens kontekst er avvik definert som enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger. Avvik skal ikke meldes via varslingskanalene for kritikkverdige forhold, men gjennom egne rutiner for avvikshåndtering;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva betyr termen avvik i Husbanken, og hvordan er denne definert i organisasjonen?;I Husbankens kontekst er avvik definert som enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger. Avvik skal ikke meldes via varslingskanalene for kritikkverdige forhold, men gjennom egne rutiner for avvikshåndtering;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Kan du beskrive hvordan Husbanken konkret definerer avvik i sin kontekst?;I Husbankens kontekst er avvik definert som enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger. Avvik skal ikke meldes via varslingskanalene for kritikkverdige forhold, men gjennom egne rutiner for avvikshåndtering;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan er begrepet avvik forklart og forstått i Husbankens retningslinjer?;I Husbankens kontekst er avvik definert som enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger. Avvik skal ikke meldes via varslingskanalene for kritikkverdige forhold, men gjennom egne rutiner for avvikshåndtering;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvilke prinsipper og retningslinjer gjelder for definisjonen av avvik i Husbanken?;I Husbankens kontekst er avvik definert som enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger. Avvik skal ikke meldes via varslingskanalene for kritikkverdige forhold, men gjennom egne rutiner for avvikshåndtering;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hvordan kan medarbeidere best forstå og anvende definisjonen av avvik i Husbankens arbeidsmiljø?;I Husbankens kontekst er avvik definert som enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger. Avvik skal ikke meldes via varslingskanalene for kritikkverdige forhold, men gjennom egne rutiner for avvikshåndtering;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
Hva er de konkrete kriteriene som ligger til grunn for definisjonen av avvik i Husbankens praksis?;I Husbankens kontekst er avvik definert som enhver hendelse eller tilstand som bryter med Husbankens internkontroll av informasjonssikkerhet eller rutiner for behandling av personopplysninger. Avvik skal ikke meldes via varslingskanalene for kritikkverdige forhold, men gjennom egne rutiner for avvikshåndtering;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Varsling av kritikkverdige forhold
